Unnamed: 0,Name,Code,Sector,Industry,Price,Change%,Volume,MCap.(M),Long Name
236,KFIMA,6491.KL,Industrial Products & Services,Diversified Industrials,2.28,2.2,541.0,644.57,Kumpulan Fima Berhad
237,PANTECH,5125.KL,Industrial Products & Services,Metals,0.765,-4.4,45412.0,654.07,Pantech Group Holdings Berhad
238,IOICORP,1961.KL,Plantation,Plantation,3.79,-1.3,10775.0,23820.9,IOI Corporation Berhad
239,PWROOT,7237.KL,Consumer Products & Services,Food & Beverages,1.37,-2.1,1312.0,633.19,Power Root Berhad
240,SKBSHUT,7115.KL,Industrial Products & Services,Building Materials,0.805,-0.6,6619.0,156.58,SKB Shutters Corporation Berhad
241,HLFG,1082.KL,Financial Services,Banking,18.2,-0.4,1602.0,20884.81,Hong Leong Financial Group Berhad
242,HIAPTEK,5072.KL,Industrial Products & Services,Metals,0.295,1.7,14840.0,515.58,Hiap Teck Venture Berhad
243,JTIASA,4383.KL,Plantation,Plantation,1.16,0.9,50333.0,1129.51,Jaya Tiasa Holdings Berhad
244,ARMADA,5210.KL,Energy,"Energy, Infrastructure, Equipment & Services",0.545,-2.7,177276.0,3230.69,Bumi Armada Berhad
245,OIB,5827.KL,Property,Property,1.25,0.0,0.0,583.22,Oriental Interest Berhad
246,SERSOL,0055.KL,Industrial Products & Services,Chemicals,0.06,-14.3,10.0,43.89,Sersol Berhad
247,L&PBHD,0268.KL,Industrial Products & Services,Industrial Services,0.17,6.3,14433.0,95.34,L&P Global Berhad
248,CHINTEK,1929.KL,Plantation,Plantation,8.12,0.7,115.0,741.87,Chin Teck Plantations Berhad
249,MASTER,7029.KL,Industrial Products & Services,Packaging Materials,2.89,-0.7,869.0,157.85,Master-Pack Group Berhad
250,DANCO,5276.KL,Industrial Products & Services,"Industrial Materials, Components & Equipment",0.43,-1.1,4031.0,190.3,Dancomech Holdings Berhad
251,UCREST,0005.KL,Technology,Technology Equipment,0.1,5.3,56022.0,74.38,UCrest Berhad
252,RTSTECH,03039.KL,Technology,Software,0.165,0.0,0.0,20.53,
253,PLYTEC,0289.KL,Industrial Products & Services,Industrial Services,0.31,6.9,4800.0,187.88,PLYTEC Holding Berhad
254,ATLAN,7048.KL,Consumer Products & Services,Retailers,2.5,1.2,65.0,634.13,Atlan Holdings Bhd
255,FAJAR,7047.KL,Construction,Construction,0.275,1.9,43395.0,204.79,Fajarbaru Builder Group Bhd.
256,SET,0337.KL,Industrial Products & Services,"Industrial Materials, Components & Equipment",0.28,1.8,20780.0,280.22,
257,AJIYA,7609.KL,Industrial Products & Services,Building Materials,1.74,-0.6,150.0,529.98,Ajiya Berhad
258,SUNREIT,5176.KL,Real Estate Investment Trusts,Real Estate Investment Trusts,1.91,1.6,16231.0,6541.38,Sunway Real Estate Investment Trust
259,SYGROUP,5173.KL,Transportation & Logistics,Transportation & Logistics Services,0.795,3.2,3458.0,954.0,Shin Yang Group Berhad
260,CENGILD,0243.KL,Health Care,Health Care Providers,0.265,0.0,4800.0,220.72,Cengild Medical Berhad
261,TAANN,5012.KL,Plantation,Plantation,3.74,0.8,2817.0,1663.72,Ta Ann Holdings Berhad
262,MGB,7595.KL,Construction,Construction,0.625,-3.8,4769.0,369.78,MGB Berhad
263,EMCC,0286.KL,Financial Services,Other Financials,0.305,5.2,19722.0,340.05,Evergreen Max Cash Capital Berhad
264,TSA,0297.KL,Industrial Products & Services,Metals,0.72,4.3,562.0,222.7,
265,KIALIM,6211.KL,Industrial Products & Services,Building Materials,0.35,4.5,562.0,21.68,Kia Lim Berhad
266,THPLANT,5112.KL,Plantation,Plantation,0.595,1.7,3956.0,525.89,TH Plantations Berhad
267,ANCOMNY,4758.KL,Industrial Products & Services,Chemicals,0.985,0.5,31776.0,1149.13,Ancom Nylex Berhad
268,ABMB,2488.KL,Financial Services,Banking,5.18,-0.4,21382.0,8019.19,Alliance Bank Malaysia Berhad
269,CEKD,0238.KL,Industrial Products & Services,"Industrial Materials, Components & Equipment",0.36,-5.3,2230.0,70.05,CEKD Berhad
270,TIMECOM,5031.KL,Telecommunications & Media,Telecommunications Service Providers,5.2,-0.6,17940.0,9613.86,TIME dotCom Berhad
271,VS,6963.KL,Industrial Products & Services,"Industrial Materials, Components & Equipment",0.92,-1.1,35066.0,3622.24,V.S. Industry Berhad
272,IGBB,5606.KL,Property,Property,2.73,0.4,11.0,3707.72,IGB Berhad
273,DFX,0131.KL,Technology,Digital Services,0.105,0.0,1650.0,78.3,Divfex Berhad
274,AMBANK,1015.KL,Financial Services,Banking,5.75,2.0,69743.0,19056.56,AMMB Holdings Berhad
275,HSPLANT,5138.KL,Plantation,Plantation,1.97,-1.0,16101.0,1576.0,Hap Seng Plantations Holdings Berhad
276,BTECH,0011.KL,Utilities,"Gas, Water & Multi-Utilities",0.28,1.8,220.0,70.56,Brite-Tech Berhad
277,SPRING,0216.KL,Consumer Products & Services,Houshold Goods,0.175,-2.8,2200.0,72.75,Spring Art Holdings Berhad
278,AHEALTH,7090.KL,Health Care,Pharmaceuticals,2.22,-0.4,636.0,1598.92,Apex Healthcare Berhad
279,RHBBANK,1066.KL,Financial Services,Banking,6.94,1.2,103132.0,30254.86,RHB Bank Berhad
280,AVALAND,5182.KL,Property,Property,0.295,3.5,10925.0,429.81,Avaland Berhad
281,IBRACO,5084.KL,Property,Property,1.08,3.8,430.0,589.73,Ibraco Berhad
282,ORGABIO,0252.KL,Consumer Products & Services,Food & Beverages,0.33,0.0,1410.0,81.8,Orgabio Holdings Berhad
283,YOCB,5159.KL,Consumer Products & Services,Houshold Goods,1.69,0.6,5.0,270.4,Yoong Onn Corporation Berhad
284,GLXT,0284.KL,Industrial Products & Services,Industrial Services,0.195,-2.5,3077.0,81.32,Glostrext Berhad
285,PPHB,8273.KL,Industrial Products & Services,Packaging Materials,0.71,-0.7,1680.0,189.36,Public Packages Holdings Berhad
286,RGTECH,0202.KL,Technology,Digital Services,0.335,3.1,729.0,186.09,Radiant Globaltech Berhad
287,QES,0196.KL,Industrial Products & Services,"Industrial Materials, Components & Equipment",0.45,0.0,13510.0,375.36,QES Group Berhad
288,EPB,0317.KL,Industrial Products & Services,Industrial Services,0.5,1.0,2041.0,186.0,EPB Group Berhad
289,HARISON,5008.KL,Consumer Products & Services,Food & Beverages,1.42,0.0,27.0,486.27,Harrisons Holdings (Malaysia) Berhad
290,GOHUB,0311.KL,Technology,Software,0.83,2.5,1837.0,332.0,Go Hub Capital Berhad
291,SORENTO,0326.KL,Consumer Products & Services,Houshold Goods,0.45,0.0,15040.0,387.0,
292,AME,5293.KL,Construction,Construction,1.69,1.2,1764.0,1082.74,AME Elite Consortium Berhad
293,STAR,6084.KL,Telecommunications & Media,Media,0.39,2.6,2984.0,288.04,Star Media Group Berhad
294,CAB,7174.KL,Consumer Products & Services,Agricultural Products,0.495,0.0,4806.0,347.44,CAB Cakaran Corporation Berhad
295,PTRANS,0186.KL,Consumer Products & Services,"Travel, Leisure & Hospitality",0.73,-0.7,32724.0,823.79,Perak Transit Berhad
296,AUMAS,0098.KL,Industrial Products & Services,Metals,0.725,-0.7,44026.0,1320.59,AuMas Resources Berhad
297,JPG,5323.KL,Plantation,Plantation,1.19,-2.5,55879.0,2975.0,
298,CATCHA,0173.KL,Telecommunications & Media,Media,0.32,-1.5,1760.0,115.26,Catcha Digital Berhad
299,DSS,0269.KL,Industrial Products & Services,Packaging Materials,0.265,0.0,5509.0,127.2,DS Sigma Holdings Berhad
300,DSR,03055.KL,Plantation,Plantation,1.18,0.0,0.0,385.24,DSR Taiko Berhad
301,3A,0012.KL,Consumer Products & Services,Food & Beverages,0.77,2.7,3655.0,378.84,Three-A Resources Berhad
302,ULICORP,7133.KL,Industrial Products & Services,"Industrial Materials, Components & Equipment",1.54,4.1,968.0,335.41,United U-LI Corporation Berhad
303,LBALUM,9326.KL,Industrial Products & Services,Metals,0.465,1.1,635.0,202.21,LB Aluminium Berhad
304,EUPE,6815.KL,Property,Property,0.95,0.0,1107.0,139.84,Eupe Corporation Berhad
305,COASTAL,5071.KL,Energy,"Energy, Infrastructure, Equipment & Services",1.38,1.5,275.0,761.22,Coastal Contracts Bhd
306,VITROX,0097.KL,Technology,Semiconductors,2.87,-1.0,25424.0,5429.57,ViTrox Corporation Berhad
307,BMGREEN,0168.KL,Energy,Renewable Energy,1.78,0.6,3262.0,1224.28,BM GreenTech Berhad
308,IHH,5225.KL,Health Care,Health Care Providers,7.37,0.3,50661.0,64966.18,IHH Healthcare Berhad
309,AMEREIT,5307.KL,Real Estate Investment Trusts,Real Estate Investment Trusts,1.65,5.8,330.0,871.15,AME Real Estate Investment Trust
310,DPHARMA,7148.KL,Health Care,Pharmaceuticals,1.2,3.4,3353.0,1154.33,Duopharma Biotech Berhad
311,MHB,5186.KL,Energy,"Energy, Infrastructure, Equipment & Services",0.365,0.0,1035.0,584.0,Malaysia Marine and Heavy Engineering Holdings Berhad
312,OVH,0220.KL,Energy,"Energy, Infrastructure, Equipment & Services",0.16,-3.0,3350.0,67.19,Ocean Vantage Holdings Berhad
313,OSKVI,0053.KL,Financial Services,Other Financials,0.53,-3.6,54.0,104.73,OSK Ventures International Berhad
314,PENTA,7160.KL,Technology,Technology Equipment,3.03,1.0,20990.0,2158.32,Pentamaster Corporation Berhad
315,KAB,0193.KL,Energy,Renewable Energy,0.325,-1.5,114424.0,675.61,Kinergy Advancement Berhad
316,INARI,0166.KL,Technology,Semiconductors,2.01,0.5,185046.0,7615.79,Inari Amertron Berhad
317,HSSEB,0185.KL,Industrial Products & Services,Industrial Engineering,0.88,-2.2,4360.0,447.46,HSS Engineers Berhad
318,KENANGA,6483.KL,Financial Services,Other Financials,1.03,-1.0,3332.0,757.84,Kenanga Investment Bank Berhad
319,CDB,6947.KL,Telecommunications & Media,Telecommunications Service Providers,3.59,-1.9,33450.0,42116.11,Celcomdigi Berhad
320,MHC,5026.KL,Plantation,Plantation,1.0,0.0,270.0,196.54,MHC Plantations Bhd.
321,PDZ,6254.KL,Transportation & Logistics,Transportation & Logistics Services,0.04,14.3,604.0,23.53,PDZ Holdings Bhd
322,HLCAP,5274.KL,Financial Services,Other Financials,3.41,0.6,639.0,841.92,Hong Leong Capital Berhad
323,PAVREIT,5212.KL,Real Estate Investment Trusts,Real Estate Investment Trusts,1.51,0.7,24401.0,5533.23,Pavilion Real Estate Investment Trust
324,HIL,8443.KL,Industrial Products & Services,Chemicals,0.75,0.0,0.0,250.53,Hil Industries Berhad
325,WCT,9679.KL,Construction,Construction,0.645,0.8,156106.0,1006.08,WCT Holdings Berhad
326,MPI,3867.KL,Technology,Semiconductors,17.34,1.8,4143.0,3639.4,Malaysian Pacific Industries Berhad
327,YENHER,5300.KL,Consumer Products & Services,Agricultural Products,0.825,0.6,725.0,247.5,Yenher Holdings Berhad
328,SUPERLN,7235.KL,Industrial Products & Services,Building Materials,0.85,6.3,121.0,136.0,Superlon Holdings Berhad
329,ARANK,7214.KL,Industrial Products & Services,Metals,0.48,1.1,381.0,85.8,A-Rank Berhad
330,SIME,4197.KL,Consumer Products & Services,Automotive,2.05,1.5,165340.0,13971.97,Sime Darby Berhad
331,T7GLOBAL,7228.KL,Energy,"Energy, Infrastructure, Equipment & Services",0.465,1.1,2402.0,427.92,T7 Global Berhad
332,SUNWAY,5211.KL,Industrial Products & Services,Diversified Industrials,4.6,2.2,90121.0,28625.65,Sunway Berhad
333,IOIPG,5249.KL,Property,Property,1.9,2.7,8334.0,10461.68,IOI Properties Group Berhad
334,OSK,5053.KL,Property,Property,1.82,0.0,15110.0,3813.45,OSK Holdings Berhad
335,MCEMENT,3794.KL,Industrial Products & Services,Building Materials,4.81,1.3,4225.0,6461.5,Malayan Cement Berhad
336,WENTEL,0298.KL,Industrial Products & Services,"Industrial Materials, Components & Equipment",0.27,-1.8,5051.0,310.5,Wentel Engineering Holdings Berhad
337,HAPSENG,3034.KL,Industrial Products & Services,Diversified Industrials,3.1,1.6,3949.0,7718.01,Hap Seng Consolidated Berhad
338,VELESTO,5243.KL,Energy,"Energy, Infrastructure, Equipment & Services",0.16,0.0,303865.0,1314.5,Velesto Energy Berhad
339,KAWAN,7216.KL,Consumer Products & Services,Food & Beverages,1.5,0.7,180.0,546.05,Kawan Food Berhad
340,KTC,0180.KL,Consumer Products & Services,Consumer Services,0.17,6.3,3878.0,115.92,Kim Teck Cheong Consolidated Berhad
341,JETSON,9083.KL,Industrial Products & Services,Auto Parts,0.195,2.6,1162.0,77.28,Kumpulan Jetson Berhad
342,BPPLAS,5100.KL,Industrial Products & Services,Packaging Materials,1.14,0.9,548.0,320.95,BP Plastics Holding Bhd.
343,REX,9946.KL,Consumer Products & Services,Food & Beverages,0.1,5.3,1.0,65.77,Rex Industry Berhad
344,EFRAME,0227.KL,Industrial Products & Services,Building Materials,0.56,2.8,18954.0,206.1,Econframe Berhad
345,PIE,7095.KL,Industrial Products & Services,"Industrial Materials, Components & Equipment",3.58,-0.6,3116.0,1374.87,P.I.E. Industrial Berhad
346,HEXIND,0161.KL,Industrial Products & Services,"Industrial Materials, Components & Equipment",0.42,0.0,16686.0,1153.88,Hextar Industries Berhad
347,BIPORT,5032.KL,Transportation & Logistics,Transportation & Logistics Services,5.98,0.0,32.0,2750.8,Bintulu Port Holdings Berhad
348,TEXCYCL,0089.KL,Industrial Products & Services,Industrial Services,1.01,-1.0,280.0,284.0,Tex Cycle Technology (M) Berhad
349,PRTASCO,5070.KL,Construction,Construction,0.29,0.0,6102.0,143.66,Protasco Berhad
350,EDELTEQ,0278.KL,Technology,Technology Equipment,0.25,2.0,2540.0,133.13,Edelteq Holdings Berhad
351,SEALINK,5145.KL,Transportation & Logistics,Transportation Equipment,0.17,-5.6,52432.0,85.0,Sealink International Berhad
352,LFG,5255.KL,Energy,"Energy, Infrastructure, Equipment & Services",1.02,1.0,2988.0,821.54,Lianson Fleet Group Berhad
353,HAILY,0237.KL,Construction,Construction,0.19,-5.0,1769.0,80.37,Haily Group Berhad
354,GENETEC,0104.KL,Technology,Technology Equipment,1.16,4.5,61367.0,913.9,Genetec Technology Berhad
355,UZMA,7250.KL,Energy,"Energy, Infrastructure, Equipment & Services",0.57,-2.6,2468.0,251.54,Uzma Berhad
356,MERSEC,0285.KL,Financial Services,Other Financials,0.305,0.0,5978.0,272.37,Mercury Securities Group Berhad
357,TENAGA,5347.KL,Utilities,Electricity,13.82,1.6,87011.0,80334.94,Tenaga Nasional Berhad
358,ORIENT,4006.KL,Consumer Products & Services,Automotive,7.15,1.3,1222.0,4435.81,Oriental Holdings Berhad
359,CREST,0323.KL,Industrial Products & Services,Industrial Services,0.195,2.6,6211.0,168.79,Crest Group Berhad
360,NHFATT,7060.KL,Consumer Products & Services,Automotive,1.93,0.0,170.0,319.11,New Hoong Fatt Holdings Berhad
361,OASIS,5265.KL,Consumer Products & Services,"Travel, Leisure & Hospitality",0.18,0.0,456.0,26.49,Oasis Harvest Corporation Berhad
362,AUTORIS,03059.KL,Financial Services,Other Financials,0.5,0.0,0.0,186.05,
363,BINTAI,6998.KL,Industrial Products & Services,Industrial Engineering,0.085,6.3,98987.0,103.7,Bintai Kinden Corporation Berhad
364,ECOFIRS,3557.KL,Property,Property,0.38,2.7,2125.0,459.01,EcoFirst Consolidated Bhd
365,DOMINAN,7169.KL,Industrial Products & Services,Wood & Wood Products,0.83,3.7,102.0,137.15,Dominant Enterprise Berhad
366,TECGUAN,7439.KL,Consumer Products & Services,Agricultural Products,1.61,3.2,84.0,64.56,Teck Guan Perdana Berhad
367,PTT,7010.KL,Property,Property,1.3,5.7,186.0,561.81,PTT Synergy Group Berhad
368,LYSAGHT,9199.KL,Industrial Products & Services,Metals,2.54,3.3,30.0,105.61,Lysaght Galvanized Steel Berhad
369,LWSABAH,5328.KL,Consumer Products & Services,Food & Beverages,0.82,1.9,1373.0,388.01,
370,SLP,7248.KL,Industrial Products & Services,Packaging Materials,0.87,0.0,0.0,275.76,SLP Resources Berhad
371,BHIC,8133.KL,Transportation & Logistics,Transportation Equipment,0.35,2.9,200.0,197.5,Boustead Heavy Industries Corporation Berhad
372,KLCC,5235SS.KL,Real Estate Investment Trusts,Real Estate Investment Trusts,8.45,0.0,838.0,15255.06,KLCC Property Holdings Berhad
373,JKGLAND,6769.KL,Property,Property,0.105,5.0,801.0,238.87,JKG Land Berhad
374,BIMB,5258.KL,Financial Services,Banking,2.57,0.4,14063.0,5824.84,Bank Islam Malaysia Berhad
375,RSAWIT,5113.KL,Plantation,Plantation,0.2,0.0,5254.0,408.34,Rimbunan Sawit Berhad
376,PANSAR,8419.KL,Industrial Products & Services,Building Materials,0.555,0.0,361.0,286.12,Pansar Berhad
377,LUXCHEM,5143.KL,Industrial Products & Services,Chemicals,0.465,-2.1,3069.0,497.49,Luxchem Corporation Berhad
378,FM,7210.KL,Transportation & Logistics,Transportation & Logistics Services,0.585,0.9,452.0,326.69,FM Global Logistics Holdings Berhad
379,TASCO,5140.KL,Transportation & Logistics,Transportation & Logistics Services,0.66,-2.2,1040.0,528.0,TASCO Berhad
380,MANULFE,1058.KL,Financial Services,Insurance,2.19,0.0,49.0,492.07,Manulife Holdings Berhad
381,FCW,2755.KL,Consumer Products & Services,Houshold Goods,1.62,0.0,0.0,404.99,FCW Holdings Berhad
382,RHONEMA,5278.KL,Consumer Products & Services,Agricultural Products,0.645,0.8,471.0,142.69,Rhone Ma Holdings Berhad
383,TGUAN,7034.KL,Industrial Products & Services,Packaging Materials,1.26,-1.6,13790.0,509.6,Thong Guan Industries Berhad
384,SCOMNET,0001.KL,Health Care,Health Care Equipment & Services,1.06,0.0,17545.0,912.24,Supercomnet Technologies Berhad
385,CHINHIN,5273.KL,Industrial Products & Services,Building Materials,2.19,1.4,7206.0,7753.32,Chin Hin Group Berhad
386,PWF,7134.KL,Consumer Products & Services,Agricultural Products,0.78,1.3,3073.0,247.93,PWF Corporation Bhd.
387,SHL,6017.KL,Property,Property,2.3,3.6,120.0,556.88,SHL Consolidated Bhd.
388,PPJACK,0242.KL,Financial Services,Other Financials,0.96,0.5,2483.0,737.47,Pappajack Berhad
389,ELKDESA,5228.KL,Financial Services,Other Financials,1.13,1.8,613.0,513.93,ELK-Desa Resources Berhad
390,VERSATL,4995.KL,Consumer Products & Services,Retailers,0.7,4.5,502.0,196.07,Versatile Creative Berhad
391,PARAMON,1724.KL,Property,Property,1.07,0.9,2720.0,666.37,Paramount Corporation Berhad
392,TMK,5330.KL,Industrial Products & Services,Chemicals,1.33,2.3,6291.0,1330.0,
393,TGL,9369.KL,Consumer Products & Services,Personal Goods,0.97,0.0,0.0,83.81,Teo Guan Lee Corporation Berhad
394,KJTS,0293.KL,Industrial Products & Services,Industrial Services,1.05,0.0,37622.0,723.06,
395,PANAMY,3719.KL,Consumer Products & Services,Houshold Goods,16.02,-1.4,49.0,973.15,Panasonic Manufacturing Malaysia Berhad
396,GOPENG,2135.KL,Plantation,Plantation,0.63,-3.1,4071.0,254.2,Gopeng Berhad
397,MATRIX,5236.KL,Property,Property,1.38,-0.7,72406.0,2590.29,Matrix Concepts Holdings Berhad
398,CNERGEN,0246.KL,Technology,Technology Equipment,0.405,2.5,1191.0,201.69,Cnergenz Berhad
399,TSH,9059.KL,Plantation,Plantation,1.17,-0.8,12379.0,1616.71,TSH Resources Berhad
400,COLFORM,0341.KL,Industrial Products & Services,Metals,0.35,-4.1,16927.0,210.0,Colform Group Berhad
401,APPASIA,0119.KL,Technology,Software,0.13,8.3,12632.0,187.84,AppAsia Berhad
402,AMTEL,7031.KL,Telecommunications & Media,Telecommunications Equipment,0.45,0.0,200.0,44.23,Amtel Holdings Berhad
403,SKYWLD,5315.KL,Property,Property,0.415,1.2,4192.0,415.0,SkyWorld Development Berhad
404,KARYON,0054.KL,Industrial Products & Services,Chemicals,0.155,0.0,1199.0,73.74,Karyon Industries Berhad
405,IRIS,0010.KL,Technology,Software,0.265,1.9,4558.0,216.17,IRIS Corporation Berhad
406,SCIPACK,8125.KL,Industrial Products & Services,Packaging Materials,1.5,0.0,0.0,526.76,Scientex Packaging (Ayer Keroh) Berhad
407,LOTUSCIR,7234.KL,Consumer Products & Services,Personal Goods,0.42,1.2,464.0,60.6,Lotus Circular Berhad
408,MINOX,0288.KL,Industrial Products & Services,"Industrial Materials, Components & Equipment",0.24,2.1,27852.0,86.4,Minox International Group Berhad
409,PGF,8117.KL,Industrial Products & Services,Building Materials,2.0,-3.4,2881.0,387.9,PGF Capital Berhad
410,KPS,5843.KL,Industrial Products & Services,Diversified Industrials,0.64,-1.5,6.0,343.93,Kumpulan Perangsang Selangor Berhad
411,YXPM,0250.KL,Consumer Products & Services,Personal Goods,0.22,2.3,4594.0,81.87,YX Precious Metals Bhd
412,MARCO,3514.KL,Consumer Products & Services,Personal Goods,0.12,-4.0,10288.0,126.52,Marco Holdings Berhad
413,UNIMECH,7091.KL,Industrial Products & Services,"Industrial Materials, Components & Equipment",1.4,0.0,80.0,211.08,Unimech Group Berhad
414,SAPIND,7811.KL,Industrial Products & Services,Auto Parts,0.84,0.0,0.0,61.13,Sapura Industrial Berhad
415,CLMT,5180.KL,Real Estate Investment Trusts,Real Estate Investment Trusts,0.65,0.8,11831.0,1871.98,CapitaLand Malaysia Trust
416,FAVCO,7229.KL,Industrial Products & Services,Industrial Engineering,1.68,0.0,165.0,397.45,Favelle Favco Berhad
417,KIMLUN,5171.KL,Construction,Construction,0.91,1.1,3310.0,321.58,Kimlun Corporation Berhad
418,AEON,6599.KL,Consumer Products & Services,Retailers,1.38,1.5,5794.0,1937.52,Aeon Co. (M) Bhd.
419,MUH,9539.KL,Property,Property,0.38,-8.4,911.0,21.44,Multi-Usage Holdings Berhad
420,SAM,9822.KL,Industrial Products & Services,"Industrial Materials, Components & Equipment",3.53,-1.7,4086.0,2389.76,SAM Engineering & Equipment (M) Berhad
421,MI,5286.KL,Technology,Technology Equipment,1.72,1.2,19719.0,1548.0,Mi Technovation Berhad
422,TECHBND,5289.KL,Industrial Products & Services,Chemicals,0.34,1.5,3089.0,257.16,Techbond Group Berhad
423,RAPID,7765.KL,Property,Property,0.63,-0.8,1401.0,67.34,Rapid Synergy Berhad
424,YSPSAH,7178.KL,Health Care,Pharmaceuticals,2.22,0.9,760.0,314.9,Y.S.P. Southeast Asia Holding Berhad
425,SEB,5163.KL,Industrial Products & Services,Industrial Engineering,0.57,0.0,0.0,45.6,Seremban Engineering Berhad
426,ANNUM,5082.KL,Industrial Products & Services,Wood & Wood Products,0.055,0.0,600.0,12.51,Annum Berhad
427,CRPMATE,0331.KL,Industrial Products & Services,Chemicals,0.18,2.9,6654.0,132.84,Cropmate Berhad
428,TAMBUN,5191.KL,Property,Property,0.83,-0.6,591.0,364.63,Tambun Indah Land Berhad
429,KEINHIN,7199.KL,Industrial Products & Services,Metals,1.37,-1.4,66.0,149.19,Kein Hing International Berhad
430,SAMCHEM,5147.KL,Industrial Products & Services,Chemicals,0.4,1.3,1690.0,217.6,Samchem Holdings Berhad
431,EFORCE,0065.KL,Technology,Software,0.235,2.2,2156.0,143.32,Excel Force MSC Berhad
432,JAYCORP,7152.KL,Consumer Products & Services,Houshold Goods,0.62,0.0,684.0,170.19,Jaycorp Berhad
433,AXREIT,5106.KL,Real Estate Investment Trusts,Real Estate Investment Trusts,1.84,0.5,15661.0,3699.31,Axis Real Estate Investment Trust
434,NPC,5047.KL,Plantation,Plantation,2.76,0.0,0.0,331.2,NPC Resources Berhad
435,DUFU,7233.KL,Industrial Products & Services,"Industrial Materials, Components & Equipment",1.15,0.0,24651.0,628.34,Dufu Technology Corp. Berhad
436,KKB,9466.KL,Industrial Products & Services,Industrial Engineering,1.47,2.8,10.0,424.43,KKB Engineering Berhad
437,KUB,6874.KL,Industrial Products & Services,Industrial Services,0.605,-0.8,260.0,337.14,KUB Malaysia Berhad
438,FPGROUP,5277.KL,Industrial Products & Services,"Industrial Materials, Components & Equipment",0.265,0.0,4049.0,145.29,FoundPac Group Berhad
439,RANHILL,5272.KL,Utilities,"Gas, Water & Multi-Utilities",1.26,0.0,4185.0,1633.95,Ranhill Utilities Berhad
440,GESHEN,7197.KL,Industrial Products & Services,"Industrial Materials, Components & Equipment",4.46,0.0,591.0,599.53,GE-Shen Corporation Berhad
441,MTAG,0213.KL,Industrial Products & Services,Industrial Services,0.27,3.8,5626.0,184.04,MTAG Group Berhad
442,ECOWLD,8206.KL,Property,Property,1.88,0.0,29547.0,5573.4,Eco World Development Group Berhad
443,ASTINO,7162.KL,Industrial Products & Services,Building Materials,0.545,2.8,2830.0,268.91,Astino Berhad
444,CPETECH,5317.KL,Industrial Products & Services,"Industrial Materials, Components & Equipment",0.68,-5.6,4310.0,456.49,CPE Technology Berhad
445,MAGNUM,3859.KL,Consumer Products & Services,"Travel, Leisure & Hospitality",1.25,0.0,24109.0,1797.19,Magnum Berhad
446,ANALABS,7083.KL,Industrial Products & Services,Industrial Services,1.69,0.0,50.0,202.88,Analabs Resources Berhad
447,GENP,2291.KL,Plantation,Plantation,5.52,0.2,2286.0,4953.42,Genting Plantations Berhad
448,MAHSING,8583.KL,Property,Property,1.18,1.7,96184.0,3020.96,Mah Sing Group Berhad
449,SPRITZER,7103.KL,Consumer Products & Services,Food & Beverages,1.57,4.0,2856.0,1002.65,Spritzer Bhd
450,YTLREIT,5109.KL,Real Estate Investment Trusts,Real Estate Investment Trusts,1.05,0.0,11263.0,1789.61,YTL Hospitality REIT
451,BABA,03012.KL,Consumer Products & Services,Houshold Goods,0.44,0.0,0.0,98.88,Baba Eco Group Berhad
452,AZAMJAYA,5329.KL,Construction,Construction,1.0,-1.0,1857.0,500.0,Azam Jaya Berhad
453,SRIDGE,0129.KL,Telecommunications & Media,Telecommunications Equipment,0.55,-0.9,203250.0,148.18,Silver Ridge Holdings Bhd.
454,SMART,0306.KL,Industrial Products & Services,Building Materials,0.245,-5.8,3172.0,90.61,
455,AYER,2305.KL,Property,Property,7.5,0.0,0.0,561.4,AYER Holdings Berhad
456,DKLS,7528.KL,Construction,Construction,1.75,0.0,0.0,162.22,DKLS Industries Berhad
457,TJSETIA,5297.KL,Construction,Construction,0.23,-2.1,39.0,80.16,Tuju Setia Berhad
458,CVIEW,5049.KL,Property,Property,1.77,0.0,0.0,177.0,Country View Berhad
459,CABNET,0191.KL,Technology,Technology Equipment,0.3,3.4,4816.0,53.63,Cabnet Holdings Berhad
460,E&O,3417.KL,Property,Property,0.76,1.3,53503.0,1911.55,Eastern & Oriental Berhad
461,KIPREIT,5280.KL,Real Estate Investment Trusts,Real Estate Investment Trusts,0.87,0.0,9174.0,694.81,KIP Real Estate Investment Trust
462,MAGNA,7617.KL,Property,Property,0.6,0.0,0.0,240.86,Magna Prima Berhad
463,MEGAFB,5327.KL,Industrial Products & Services,"Industrial Materials, Components & Equipment",0.51,-1.0,37847.0,430.94,
464,SENTRAL,5123.KL,Real Estate Investment Trusts,Real Estate Investment Trusts,0.77,0.0,4244.0,920.54,Sentral REIT
465,OKA,7140.KL,Industrial Products & Services,Building Materials,0.65,2.4,52.0,159.51,OKA Corporation Bhd
466,APM,5015.KL,Industrial Products & Services,Auto Parts,3.09,1.0,1586.0,622.94,APM Automotive Holdings Berhad
467,MEDIA,4502.KL,Telecommunications & Media,Media,0.48,2.1,7407.0,532.42,Media Prima Berhad
468,INNATURE,5295.KL,Consumer Products & Services,Personal Goods,0.16,-3.0,2400.0,112.94,InNature Berhad
469,FIBON,0149.KL,Industrial Products & Services,"Industrial Materials, Components & Equipment",0.45,16.9,51.0,44.1,Fibon Berhad
470,SASBADI,5252.KL,Telecommunications & Media,Media,0.17,3.0,1109.0,74.14,Sasbadi Holdings Berhad
